commit	parser	integers	sexp	csv	json	lambda
a88fb41-framework(base-lib)	prim	16.870000	12.290000	11.940000	62.550000	3.760000
a88fb41-framework(base-lib)	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
82728a8 docs(necessity): characterize comp	prim	17.170000	12.590000	11.740000	61.120000	3.750000
82728a8 docs(necessity): characterize comp	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
0e82d6b feat(properties): prove gseq/gbind	prim	16.930000	12.480000	11.960000	62.610000	3.820000
0e82d6b feat(properties): prove gseq/gbind	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
d5923cf test(productivity): prove `fix` to	prim	17.430000	12.130000	11.920000	61.170000	3.890000
d5923cf test(productivity): prove `fix` to	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
c7d729c docs(examples): demonstrate the do	prim	16.820000	12.360000	11.810000	61.350000	3.750000
c7d729c docs(examples): demonstrate the do	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
2f4ac31 feat(run): String entry points (pa	prim	17.030000	12.000000	11.710000	61.160000	3.820000
2f4ac31 feat(run): String entry points (pa	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
f478ecf feat(errors): source-offset errors	prim	16.870000	12.160000	11.920000	62.380000	3.640000
f478ecf feat(errors): source-offset errors	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
1fc67e3 feat(lexer): symbol, signed, char/	prim	16.900000	12.390000	11.840000	62.940000	3.700000
1fc67e3 feat(lexer): symbol, signed, char/	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
2680829 feat(expr): makeExprParser with pr	prim	18.080000	12.790000	12.090000	64.170000	3.770000
2680829 feat(expr): makeExprParser with pr	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
dc194ad build(examples): add Examples.lean	prim	17.970000	12.740000	12.050000	64.150000	3.830000
dc194ad build(examples): add Examples.lean	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
093099f perf: array + fast path	prim	8.180000	6.800000	8.200000	44.630000	2.220000
093099f perf: array + fast path	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
e300721 feat(state): read-only position pr	prim	8.410000	6.860000	8.300000	45.340000	2.190000
e300721 feat(state): read-only position pr	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
3493016 feat(core): generic tokens	prim	8.310000	6.840000	8.150000	45.650000	2.220000
3493016 feat(core): generic tokens	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
7882aa3 fix(token): fail without consu	prim	6.910000	6.360000	6.550000	39.690000	1.930000
7882aa3 fix(token): fail without consu	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
a8f5913 feat(errors): line and column 	prim	6.850000	6.250000	6.430000	39.150000	1.950000
a8f5913 feat(errors): line and column 	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
863de5c feat(errors): expected-set mer	prim	6.920000	6.420000	6.700000	39.760000	1.910000
863de5c feat(errors): expected-set mer	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
dd5be81 docs(examples): two-phase lexi	prim	6.860000	6.260000	6.460000	39.850000	1.930000
dd5be81 docs(examples): two-phase lexi	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
266ca6c feat(errors): position range a	prim	7.080000	6.470000	6.510000	40.450000	1.970000
266ca6c feat(errors): position range a	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
6723bae docs(core): expand the Parser 	prim	6.910000	6.470000	6.540000	40.510000	2.000000
6723bae docs(core): expand the Parser 	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
1edd35e docs: add security/correctness	prim	7.020000	6.420000	6.570000	39.830000	1.980000
1edd35e docs: add security/correctness	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
2e7b815 docs(audit): json+regression	prim	7.080000	6.330000	6.560000	40.040000	1.920000
2e7b815 docs(audit): json+regression	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
b8f1a18 perf(json): first-char dispatch	prim	6.690000	6.240000	6.410000	18.950000	1.910000
b8f1a18 perf(json): first-char dispatch	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
6d3078d perf(nat): direct digit fold	prim	5.540000	6.140000	5.240000	17.170000	1.900000
6d3078d perf(nat): direct digit fold	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
aa77cc4 perf(core): inline hot helpers	prim	5.370000	4.840000	4.580000	12.590000	1.490000
aa77cc4 perf(core): inline hot helpers	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
f45438b perf(core): inline char prims	prim	4.870000	3.870000	3.910000	11.940000	1.140000
f45438b perf(core): inline char prims	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
d870938 feat(core): manyArr (DoS-safe)	prim	4.960000	3.890000	4.020000	12.200000	1.180000
d870938 feat(core): manyArr (DoS-safe)	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
8cf299a perf(core): 1-pass String decode	prim	3.770000	3.660000	3.490000	11.190000	1.090000
8cf299a perf(core): 1-pass String decode	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
7bd9bd1 perf(core): direct skipSatisfy	prim	3.460000	3.560000	3.110000	10.450000	1.000000
7bd9bd1 perf(core): direct skipSatisfy	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
dbec58b perf(core): specialize fix	prim	3.390000	3.390000	3.070000	10.160000	0.970000
dbec58b perf(core): specialize fix	lean4-parser	4.370000	2.200000	3.120000	4.340000	0.670000
